longitude,latitude
-123.7054921,48.38859849
-123.705281,48.38843843
-123.7051544,48.38826547
-123.7050442,48.38807525
-123.7050401,48.38781857
-123.7050691,48.38761896
-123.705188,48.38737017
-123.7052646,48.38712783
-123.7052663,48.38692647
-123.7052381,48.3867415
-123.7050481,48.38655959
-123.7046508,48.3864197
-123.7041031,48.38627021
-123.7034463,48.38611657
-123.7031163,48.38602726
-123.7027696,48.38595502
-123.7023903,48.38585619
-123.7019892,48.38575677
-123.7016417,48.38566858
-123.7013441,48.38557715
-123.701044,48.38547944
-123.7007425,48.3853905
-123.7003539,48.38522782
-123.7000019,48.38502654
-123.6997001,48.38481439
-123.6994133,48.38460278
-123.6990933,48.38441567
-123.6987203,48.38414885
-123.6984427,48.38395621
-123.6981419,48.38374315
-123.6978322,48.38351023
-123.6974937,48.38321921
-123.6972232,48.38293479
-123.697063,48.3827164
-123.6969827,48.38245046
-123.6969104,48.38214841
-123.6968825,48.38189676
-123.6968971,48.38170456
-123.6968794,48.38134328
-123.6969291,48.38111761
